127.0.0.1, 2025-01-06 09:22:42, GET, /, HTTP/1.1, 303, 0.032820
127.0.0.1, 2025-01-06 09:22:44, GET, /welcome/default/index, HTTP/1.1, 200, 1.461608
127.0.0.1, 2025-01-06 09:22:44, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002270
127.0.0.1, 2025-01-06 09:22:44, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001215
127.0.0.1, 2025-01-06 09:22:44, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2025-01-06 09:22:44, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2025-01-06 09:22:44, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003224
127.0.0.1, 2025-01-06 09:22:44, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001320
127.0.0.1, 2025-01-06 09:22:44, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000520
127.0.0.1, 2025-01-06 09:22:44, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2025-01-06 09:22:44, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2025-01-06 09:22:44, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/default/index, HTTP/1.1, 200, 0.248858
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/js/jquery.js, HTTP/1.1, 200, 0.001009
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001833
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/js/calendar.js, HTTP/1.1, 200, 0.000836
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/css/calendar.css, HTTP/1.1, 200, 0.001833
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/js/web2py.js, HTTP/1.1, 200, 0.001833
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000836
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002241
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002698
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002241
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/js/bootstrap.min.js, HTTP/1.1, 200, 0.002698
127.0.0.1, 2025-01-06 09:22:47, GET, /admin/static/_3.0.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002698
127.0.0.1, 2025-01-06 09:22:48, GET, /admin/static/_3.0.11/images/questions.png, HTTP/1.1, 200, 0.002001
127.0.0.1, 2025-01-06 09:22:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2025-01-06 09:22:53, POST, /admin/default/index, HTTP/1.1, 200, 1.041511
127.0.0.1, 2025-01-06 09:22:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2025-01-06 09:22:58, POST, /admin/default/index, HTTP/1.1, 303, 0.016095
127.0.0.1, 2025-01-06 09:22:58, GET, /admin/default/site, HTTP/1.1, 200, 0.039040
127.0.0.1, 2025-01-06 09:22:58, GET, /admin/static/_3.0.11/images/folder_locked.png, HTTP/1.1, 200, 0.002271
127.0.0.1, 2025-01-06 09:22:58, GET, /admin/static/_3.0.11/images/folder.png, HTTP/1.1, 200, 0.001140
127.0.0.1, 2025-01-06 09:22:58, GET, /admin/static/_3.0.11/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.009264
127.0.0.1, 2025-01-06 09:22:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000813
127.0.0.1, 2025-01-06 09:22:59, POST, /admin/default/check_version, HTTP/1.1, 200, 0.976233
127.0.0.1, 2025-01-06 09:23:12, GET, /admin/static/_3.0.11/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001024
127.0.0.1, 2025-01-06 09:24:22, POST, /admin/default/site, HTTP/1.1, 303, 1.122665
127.0.0.1, 2025-01-06 09:24:22, GET, /admin/default/design/gestao_suprimentos, HTTP/1.1, 200, 0.199109
127.0.0.1, 2025-01-06 09:24:22, GET, /admin/static/_3.0.11/images/search.png, HTTP/1.1, 200, 0.001069
127.0.0.1, 2025-01-06 09:24:22, GET, /admin/static/_3.0.11/images/help.png, HTTP/1.1, 200, 0.001139
127.0.0.1, 2025-01-06 09:24:22, GET, /admin/static/_3.0.11/images/test_icon.png, HTTP/1.1, 200, 0.001011
127.0.0.1, 2025-01-06 09:24:22, GET, /admin/static/_3.0.11/images/delete_icon.png, HTTP/1.1, 200, 0.002150
127.0.0.1, 2025-01-06 09:24:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/default/edit/gestao_suprimentos/models/db.py, HTTP/1.1, 200, 0.058966
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001235
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002001
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002001
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000602
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001002
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.001393
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.004643
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000732
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002564
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002564
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003843
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001280
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001002
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001450
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001450
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001310
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001050
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001536
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001536
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001536
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001449
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002010
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001362
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/js/ajax_editor.js, HTTP/1.1, 200, 0.001412
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/js/typeahead.min.js, HTTP/1.1, 200, 0.001002
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001961
127.0.0.1, 2025-01-06 09:24:52, GET, /admin/static/_3.0.11/images/files_toggle.png, HTTP/1.1, 200, 0.001038
127.0.0.1, 2025-01-06 09:24:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2025-01-06 09:24:53, GET, /admin/default/edit/gestao_suprimentos/models/db.py, HTTP/1.1, 200, 0.238626
127.0.0.1, 2025-01-06 09:24:53, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.235556
127.0.0.1, 2025-01-06 09:24:53, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.238580
127.0.0.1, 2025-01-06 09:24:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.248993
127.0.0.1, 2025-01-06 09:24:53, GET, /admin/static/_3.0.11/images/save_icon.png, HTTP/1.1, 200, 0.002519
127.0.0.1, 2025-01-06 09:24:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.102468
127.0.0.1, 2025-01-06 09:24:53, GET, /gestao_suprimentos/appadmin/hooks, HTTP/1.1, 200, 0.579729
127.0.0.1, 2025-01-06 09:25:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2025-01-06 09:25:51, GET, /admin/default/site, HTTP/1.1, 200, 0.015154
127.0.0.1, 2025-01-06 09:25:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000772
127.0.0.1, 2025-01-06 09:25:59, GET, /admin/default/design/gestao_suprimentos, HTTP/1.1, 200, 0.038272
127.0.0.1, 2025-01-06 09:25:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001306
127.0.0.1, 2025-01-06 09:26:24, GET, /admin/default/edit/gestao_suprimentos/views/default/index.html, HTTP/1.1, 200, 0.021598
127.0.0.1, 2025-01-06 09:26:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2025-01-06 09:26:24, GET, /admin/default/edit/gestao_suprimentos/views/default/index.html, HTTP/1.1, 200, 0.083746
127.0.0.1, 2025-01-06 09:26:25, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.152104
